Timestamp,Email address,name -,Occupation –,Have you ever heard about cybersecurity threats?,Have you ever encountered any cyber threat? ,"If yes, what type of cyber threat did you experience? ",Which of the following are common cyber threats?,Do you use the same password for multiple accounts?,Do you use two-factor authentication (2FA)?,What steps do you take to prevent cyber threats?,,,Do you think cybersecurity awareness should be taught in schools/colleges?,What suggestions would you give to improve cybersecurity awareness?
01/03/2026 22:29:59,vedpathakvinayak315@gmail.com,Vinayak Vedpathak,Student,Yes,Yes,"Hacking, Malware/Virus, Online Scam, Cyberbullying","Phishing Emails, Weak Passwords, Fake Websites",No,No,"Enable 2FA, Avoid suspicious links, Install antivirus software, Do not share OTP/password",Once a year,Yes,Yes,"Be aware while opening any unknown links, should not share OTP with anyone and always 2FA"
02/03/2026 21:55:38,kangunevedika71@gmail.com,Vedika kangune,Student,Yes,Yes,Online Scam,Weak Passwords,Yes,Yes,Use strong passwords,Monthly,Yes,Yes,
02/03/2026 21:56:29,kangunevedika71@gmail.com,Vedika kangune,Student,Yes,Yes,Online Scam,"Phishing Emails, Fake Websites",Yes,Yes,Use strong passwords,Monthly,Yes,Yes,
02/03/2026 21:59:26,gaurigrv01@gmail.com,GAURI GURAV,Student,Yes,Yes,"Identity Theft, Online Scam, Cyberbullying",All of the above,No,Yes,"Use strong passwords, Enable 2FA, Avoid suspicious links, Install antivirus software, Regularly update software, Do not share OTP/password",Every 3–6 months,Yes,Yes,SPREADING MORE AWARENESS ABOUT CYBER SECURITY THROUGH SOCIAL MEDIAS AS IT'S USED MORE OFTEN BY PEOPLE
02/03/2026 21:59:30,sayeearwalkar2006@gmail.com,Sayee Arwalkar,Student,Yes,No,Phishing,"Phishing Emails, Ransomware, All of the above",Sometimes,Yes,"Use strong passwords, Enable 2FA, Avoid suspicious links",Never,No,Yes,
02/03/2026 23:53:08,amarbhaiyagawali14@gmail.com,Amar,Student,Yes,No,Other,All of the above,No,Yes,Enable 2FA,Monthly,Yes,Yes,
03/03/2026 13:02:05,tanishrajguru@gmail.com,Tanishk Rajguru,Student,no,Yes,"Hacking, Online Scam","Phishing Emails, Fake Websites",Yes,Yes,"Use strong passwords, Avoid suspicious links, Do not share OTP/password",Never,Yes,Yes,Try your best.... Good luck
06/03/2026 12:53:00,nikhiljoshi33@gmail.com,Nikhil Joshi,Self-employed,Yes,Yes,Online Scam,Weak Passwords,Yes,Yes,"Install antivirus software, Avoid suspicious links",Monthly,Yes,Yes,
07/03/2026 06:37:00,adityapatil910@gmail.com,Aditya Patil,Employee,Yes,No,Online Scam,Fake Websites,No,No,Do not share OTP/password,Never,No,Yes,
07/03/2026 16:11:00,nikhiljoshi41@gmail.com,Nikhil Joshi,Employee,Yes,No,Online Scam,Weak Passwords,No,Yes,Enable 2FA,Every 3–6 months,Yes,Yes,
06/03/2026 15:06:00,rohitsharma282@gmail.com,Rohit Sharma,Self-employed,no,Yes,"Hacking, Online Scam",Phishing Emails,No,Yes,"Use strong passwords, Enable 2FA, Avoid suspicious links",Once a year,No,Yes,
06/03/2026 06:42:00,poojasharma660@gmail.com,Pooja Sharma,Self-employed,Yes,Yes,Hacking,Phishing Emails,Yes,Yes,Avoid suspicious links,Monthly,No,Yes,
05/03/2026 17:25:00,riyasingh928@gmail.com,Riya Singh,Student,Yes,Yes,"Hacking, Online Scam",Weak Passwords,No,No,"Use strong passwords, Enable 2FA",Every 3–6 months,Yes,Yes,
07/03/2026 02:15:00,rohitsharma78@gmail.com,Rohit Sharma,Student,no,Yes,Malware/Virus,Fake Websites,Yes,Yes,"Use strong passwords, Enable 2FA",Never,No,Yes,Conduct cybersecurity workshops
06/03/2026 01:41:00,sagarmore477@gmail.com,Sagar More,Student,Yes,Yes,Cyberbullying,Phishing Emails,No,No,Enable 2FA,Monthly,No,Yes,
06/03/2026 16:03:00,riyasingh440@gmail.com,Riya Singh,Employee,Yes,No,Identity Theft,Phishing Emails,Yes,No,Do not share OTP/password,Once a year,Yes,Yes,
06/03/2026 21:19:00,poojasharma367@gmail.com,Pooja Sharma,Self-employed,Yes,Yes,Online Scam,All of the above,Yes,Yes,Use strong passwords,Once a year,No,Yes,
05/03/2026 13:01:00,nikhiljoshi13@gmail.com,Nikhil Joshi,Self-employed,Yes,No,Hacking,Phishing Emails,No,No,"Use strong passwords, Enable 2FA",Never,Yes,Yes,Conduct cybersecurity workshops
07/03/2026 16:59:00,rohitsharma612@gmail.com,Rohit Sharma,Employee,no,Yes,Identity Theft,Phishing Emails,Sometimes,Yes,Enable 2FA,Every 3–6 months,No,Yes,
07/03/2026 21:10:00,nehagupta554@gmail.com,Neha Gupta,Employee,Yes,Yes,"Malware/Virus, Online Scam",Fake Websites,No,No,"Use strong passwords, Enable 2FA, Avoid suspicious links",Once a year,Yes,Yes,
04/03/2026 13:59:00,sagarmore437@gmail.com,Sagar More,Employee,Yes,Yes,Hacking,"Phishing Emails, Fake Websites",No,Yes,Enable 2FA,Once a year,Yes,Yes,Conduct cybersecurity workshops
05/03/2026 15:28:00,poojasharma577@gmail.com,Pooja Sharma,Employee,Yes,No,"Hacking, Online Scam",Phishing Emails,Yes,Yes,Avoid suspicious links,Every 3–6 months,Yes,Yes,
06/03/2026 03:44:00,nehagupta249@gmail.com,Neha Gupta,Student,no,Yes,Malware/Virus,All of the above,No,Yes,Enable 2FA,Once a year,Yes,Yes,Conduct cybersecurity workshops
06/03/2026 10:46:00,sagarmore928@gmail.com,Sagar More,Student,Yes,Yes,"Malware/Virus, Online Scam",Phishing Emails,Sometimes,Yes,"Use strong passwords, Enable 2FA, Avoid suspicious links",Monthly,Yes,Yes,Promote strong password practices
06/03/2026 13:21:00,nehagupta219@gmail.com,Neha Gupta,Student,Yes,No,Identity Theft,Weak Passwords,No,No,"Use strong passwords, Enable 2FA, Avoid suspicious links",Every 3–6 months,Yes,Yes,
05/03/2026 21:30:00,nehagupta725@gmail.com,Neha Gupta,Employee,Yes,No,Hacking,Fake Websites,Yes,Yes,"Use strong passwords, Enable 2FA",Monthly,No,Yes,
07/03/2026 17:49:00,sagarmore349@gmail.com,Sagar More,Employee,no,No,Online Scam,Phishing Emails,No,No,Do not share OTP/password,Once a year,No,Yes,
06/03/2026 04:11:00,nikhiljoshi693@gmail.com,Nikhil Joshi,Student,Yes,Yes,Hacking,Phishing Emails,No,Yes,"Use strong passwords, Enable 2FA",Monthly,Yes,Yes,
05/03/2026 07:50:00,poojasharma970@gmail.com,Pooja Sharma,Student,Yes,Yes,"Hacking, Online Scam",Weak Passwords,Sometimes,No,Enable 2FA,Never,Yes,Yes,Promote strong password practices
05/03/2026 02:14:00,rohitsharma980@gmail.com,Rohit Sharma,Self-employed,Yes,No,Identity Theft,Phishing Emails,No,No,Avoid suspicious links,Every 3–6 months,No,Yes,
06/03/2026 08:17:00,poojasharma360@gmail.com,Pooja Sharma,Student,Yes,Yes,Online Scam,Fake Websites,Sometimes,No,"Install antivirus software, Avoid suspicious links",Every 3–6 months,No,Yes,
06/03/2026 08:16:00,adityapatil578@gmail.com,Aditya Patil,Employee,Yes,Yes,Identity Theft,Weak Passwords,Yes,Yes,"Use strong passwords, Enable 2FA",Monthly,Yes,Yes,
06/03/2026 14:19:00,nehagupta70@gmail.com,Neha Gupta,Employee,no,No,"Hacking, Online Scam",Weak Passwords,No,No,Avoid suspicious links,Every 3–6 months,Yes,Yes,Spread awareness on social media
05/03/2026 14:43:00,nikhiljoshi587@gmail.com,Nikhil Joshi,Employee,Yes,No,Identity Theft,Phishing Emails,Sometimes,Yes,Enable 2FA,Never,No,Yes,Teach cybersecurity in schools
06/03/2026 09:54:00,rahulgupta338@gmail.com,Rahul Gupta,Employee,Yes,No,Online Scam,"Phishing Emails, Fake Websites",No,Yes,Enable 2FA,Every 3–6 months,Yes,Yes,
04/03/2026 14:19:00,poojasharma857@gmail.com,Pooja Sharma,Student,Yes,No,Online Scam,All of the above,Sometimes,No,Enable 2FA,Never,No,Yes,
06/03/2026 17:28:00,priyakale399@gmail.com,Priya Kale,Self-employed,Yes,No,"Malware/Virus, Online Scam",Phishing Emails,No,Yes,Do not share OTP/password,Monthly,No,Yes,
05/03/2026 14:36:00,poojasharma503@gmail.com,Pooja Sharma,Student,Yes,Yes,Hacking,Weak Passwords,Sometimes,No,"Install antivirus software, Avoid suspicious links",Monthly,No,Yes,
05/03/2026 17:33:00,priyakale544@gmail.com,Priya Kale,Employee,Yes,Yes,"Malware/Virus, Online Scam",Fake Websites,No,Yes,Avoid suspicious links,Monthly,No,Yes,
